Sample-#, CA-V, CA-I, CB-V, CB-I 
0.0, 0.0049332678318, 0.0, -1.99484395608, 0.0
5e-06, 0.00485513033345, 0.0, -1.99476591451, 0.0
1e-05, 0.00485513033345, 0.0, -1.99484395608, 0.0
1.5e-05, 0.0047769928351, 0.0, -1.99484395608, 0.0
2e-05, 0.0047769928351, 0.0, -1.99476591451, 0.0
2.5e-05, 0.00485513033345, 0.0, -1.99484395608, 0.0
3e-05, 0.00485513033345, 0.0, -1.99476591451, 0.0
3.5e-05, 0.00485513033345, 0.0, -1.99468787294, 0.0
4e-05, 0.00485513033345, 0.0, -1.99476591451, 0.0
4.5e-05, 0.0049332678318, 0.0, -1.99476591451, 0.0
5e-05, 0.0049332678318, 0.0, -1.99476591451, 0.0
5.5e-05, 0.00485513033345, 0.0, -1.99484395608, 0.0
6e-05, 0.0047769928351, 0.0, -1.99476591451, 0.0
6.5e-05, 0.00485513033345, 0.0, -1.99484395608, 0.0
7e-05, 0.00485513033345, 0.0, -1.99476591451, 0.0
7.5e-05, 0.00485513033345, 0.0, -1.99476591451, 0.0
8e-05, 0.0047769928351, 0.0, -1.99476591451, 0.0
8.5e-05, 0.00485513033345, 0.0, -1.99484395608, 0.0
9e-05, 0.00485513033345, 0.0, -1.99484395608, 0.0
9.5e-05, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.0001, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.000105, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.00011, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.000115, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.00012, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.000125, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.00013, 0.00485513033345, 0.0, -1.99468787294, 0.0
0.000135, 0.0047769928351, 0.0, -1.99468787294, 0.0
0.00014, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000145, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.00015, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.000155, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.00016, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000165, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.00017, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.000175, 0.0049332678318, 0.0, -1.99468787294, 0.0
0.00018, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.000185, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.00019, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.000195, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.0002, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000205, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.00021, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000215, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.00022, 0.0047769928351, 0.0, -1.99468787294, 0.0
0.000225, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.00023, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000235, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.00024, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.000245, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.00025, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.000255, 0.00485513033345, 0.0, -1.99492199766, 0.0
0.00026, 0.00485513033345, 0.0, -1.99468787294, 0.0
0.000265, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.00027, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.000275, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.00028, 0.0049332678318, 0.0, -1.99484395608, 0.0
0.000285, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.00029, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000295, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.0003, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000305, 0.0049332678318, 0.0, -1.99476591451, 0.0
0.00031, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.000315, 0.0049332678318, 0.0, -1.99476591451, 0.0
0.00032, 0.0047769928351, 0.0, -1.99468787294, 0.0
0.000325, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.00033, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.000335, 0.0049332678318, 0.0, -1.99484395608, 0.0
0.00034, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.000345, 0.00485513033345, 0.0, -1.99492199766, 0.0
0.00035, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.000355, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.00036, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000365, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.00037, 0.0047769928351, 0.0, -1.99476591451, 0.0
